id,active,short_name,name,agency,category,listing,value_kind,source,summary,receive,website,apply_url,phone,timeline,cost,income_guideline,how_to_apply,notes,documents,max_fpl,child_under,min_children,min_children_age_max,min_age,needs_veteran,needs_disabled,needs_pregnant_or_child,needs_renting,needs_working,tribal,states,verify,award_formula,award_amount,urgent,deadline_days,image
calfresh,TRUE,SNAP,SNAP (Supplemental Nutrition Assistance Program) / CalFresh in CA,USDA Food and Nutrition Service,Food,benefit,monthly,federal,Monthly EBT food benefit.,Monthly EBT food benefit. FY2026 max for a family of 4 in the 48 states is about $973; average is roughly $188–$194 per person. Minimum benefit for 1–2 person households is $24 (FY2026).,https://www.fns.usda.gov/snap,https://www.fns.usda.gov/snap/state-directory,USDA SNAP info: 1-800-221-5689. National Hunger Hotline: 1-866-3-HUNGRY. CA: 1-877-847-3663,Federal standard: 30 days. Expedited: 7 days if eligible. Benefits typically load monthly after approval.,Free to apply. No legitimate SNAP application fee.,"Gross ≤130% FPL (example: family of 3 ~$2,888/mo in FY2026). State variations and deductions (rent, utilities, child care, medical) matter.","Apply through your state SNAP agency (online portal, phone, or in person). California: BenefitsCal.com. Expedited SNAP (7 days) if very low income/resources.","Cannot buy alcohol, tobacco, hot prepared foods (most states), vitamins, or non-food items. Some states have added food-restriction waivers. Recertify periodically. Report changes in income/household.",Photo ID; SSNs; proof of income; rent/utility bills; immigration documents if applicable,200,,,,,,,,,,,,income,snap,,,,/images/snap-groceries.jpg
wic,TRUE,WIC,"WIC (Special Supplemental Nutrition Program for Women, Infants, and Children)",USDA FNS,Food,benefit,monthly,federal,"Monthly food package (formula, fruits/veg, dairy, grains, eggs, etc.) via EBT or checks; nutrition counseling; breastfeeding support.","Monthly food package (formula, fruits/veg, dairy, grains, eggs, etc.) via EBT or checks; nutrition counseling; breastfeeding support. Average food cost historically ~$60/person/month.",https://www.fns.usda.gov/wic,https://www.fns.usda.gov/wic/apply,1-800-311-BABY (1-800-311-2229) or local WIC clinic,Often 1–3 weeks for first appointment depending on clinic capacity. Benefits issued after certification visit.,Free.,≤185% FPL (higher than SNAP). Automatically income-eligible if on SNAP/Medicaid/TANF.,"Contact local WIC clinic (phone or online locator). Appointment required for certification. Fathers, grandparents, and foster parents can apply for children in their care.",Food list is restricted to WIC-approved items. Recertify about every 6–12 months. Presence of a child under 5 is required for child benefits.,ID; proof of residence; proof of income or current SNAP/Medicaid/TANF; child's birth info,185,,,,,,,5,,,,,,wic,,,,/images/wic-produce.jpg
school-meals,TRUE,Meals,National School Lunch & School Breakfast Programs,USDA FNS,Food,benefit,monthly,federal,Free or reduced-price breakfast and lunch on school days.,Free or reduced-price breakfast and lunch on school days. Some districts also offer afterschool snacks or supper.,https://www.fns.usda.gov/nslp,https://www.fns.usda.gov/cn/apply-school-meals,School nutrition office; USDA: 1-800-221-5689,Usually processed within days to 2 weeks of school year start. Benefits begin once approved; some districts serve all students pending processing.,Free to apply. Reduced-price meals have a small copay unless the district waives it.,Free ≤130% FPL; reduced ≤185% FPL. State universal-meal laws may override.,Submit the school meal application through your child's school or district portal at the start of the year (or any time income changes). Categorically eligible households may be directly certified and need not apply.,Summer meals: SUN Meals / Summer Food Service Program at community sites when school is out. Check USDA site finder.,School meal application; income or case-number if not directly certified,,,1,18,,,,,,,,,,meals,,,,/images/snap-groceries.jpg
food-bank,TRUE,Pantry,Feeding America network / TEFAP food pantries,Feeding America food banks + USDA The Emergency Food Assistance Program (TEFAP),Food,benefit,monthly,nonprofit,"Boxes or bags of groceries; some sites offer hot meals, produce, diapers, or hygiene items.","Boxes or bags of groceries; some sites offer hot meals, produce, diapers, or hygiene items. Frequency varies (weekly to monthly).",https://www.feedingamerica.org,https://www.feedingamerica.org/find-your-local-foodbank,Hunger Hotline 1-866-348-6479 (EN) / 1-877-842-6273 (ES). Text FOOD to 97779.,Same day at most pantries. Some require registration first visit.,Free. Never pay for pantry food.,Varies by pantry; typically low-income or food-insecure households.,"Use Feeding America Find Your Local Food Bank, call 211, or USDA National Hunger Hotline. Walk in with ID and proof of address if requested.",Best first stop in a food crisis while SNAP is pending. Hours and item limits vary. Bring reusable bags and ID.,Often photo ID and proof of address; some sites ask for household size only,,,,,,,,,,,,,,pantry,,,,/images/snap-groceries.jpg
csfp,TRUE,CSFP,Commodity Supplemental Food Program (CSFP),USDA FNS,Food,benefit,monthly,federal,"Monthly box of USDA foods (canned fruits/veg, protein, grains, dairy).","Monthly box of USDA foods (canned fruits/veg, protein, grains, dairy).",https://www.fns.usda.gov/csfp,https://www.fns.usda.gov/csfp/csfp-contacts,State CSFP office via FNS contacts page,Days to a few weeks; then monthly pickup.,Free.,Generally ≤130% FPL for seniors.,Apply at local CSFP distribution site (often a food bank or senior center).,"Can usually receive CSFP and SNAP together, subject to state rules. Waiting lists exist in some areas.",ID; proof of age; proof of income and residence,130,,,,60,,,,,,,,,flat,50,,,/images/food-box.jpg
meals-on-wheels,TRUE,Meals,Meals on Wheels,Meals on Wheels America + local senior nutrition programs (often Older Americans Act funded),Food,benefit,monthly,nonprofit,"Typically 1 meal/day delivered; some programs offer frozen multi-packs, weekend meals, or medically tailored meals.","Typically 1 meal/day delivered; some programs offer frozen multi-packs, weekend meals, or medically tailored meals.",https://www.mealsonwheelsamerica.org,https://www.mealsonwheelsamerica.org/find-meals,1-888-998-6325,Assessment often within days to 2 weeks. Delivery starts after intake.,Usually free or suggested donation. Never denied for inability to pay under OAA rules.,No hard federal income cap; local programs prioritize greatest social/economic need.,Use Meals on Wheels locator or call local Area Agency on Aging / 211.,Also a safety-check program. Ask about pet-food add-ons and weekend coverage.,ID; address; and a brief needs assessment; medical notes helpful if diet-restricted,,,,,60,,,,,,,,,flat,180,,,/images/food-box.jpg
fdpir,TRUE,FDPIR,Food Distribution Program on Indian Reservations (FDPIR),USDA FNS + Tribal governments,Food,benefit,monthly,federal,Monthly commodity food package.,Monthly commodity food package. Households generally cannot receive SNAP and FDPIR in the same month.,https://www.fns.usda.gov/fdpir,https://www.fns.usda.gov/fdpir/fdpir-contacts,Local Tribal FDPIR office,Similar to SNAP—often within 30 days; emergency issuance possible.,Free.,Low-income per FDPIR guidelines (aligned with SNAP-type limits).,Apply at the local Tribal FDPIR office / ITO (Indian Tribal Organization).,"Choose SNAP or FDPIR in a given month, not both.",Tribal enrollment/residency; income; household composition,130,,,,,,,,,,TRUE,,,snap,,,,/images/food-box.jpg
calworks,TRUE,TANF,TANF / CalWORKs (Temporary Assistance for Needy Families),HHS Administration for Children and Families,Cash,benefit,monthly,federal,Monthly cash (amount varies widely by state and family size—often a few hundred dollars).,"Monthly cash (amount varies widely by state and family size—often a few hundred dollars). May include child-care help, job training, and one-time diversion payments for a car repair or deposit.",https://www.acf.hhs.gov/ofa/programs/tanf,https://www.usa.gov/welfare-benefits,State/county welfare office. USAGov directory via usa.gov,Often 30–45 days. Immediate-need / diversion payments can be faster (days to 2 weeks) in some counties.,Free.,"Very low; often well below FPL. State-specific. Family of four commonly must be under ~$45k–$50k in some states, much lower in others.",Apply at county/state welfare office or state benefits portal (BenefitsCal in CA).,Work requirements and child-support cooperation usually required. One-time diversion can sometimes help with a car or rent instead of opening a monthly case.,IDs; SSNs; birth certificates for children; proof of income/resources; rent; pregnancy verification if applicable,130,,1,18,,,,,,,,,income,tanf,,,14,/images/cash-aid.jpg
ssi,TRUE,SSI,Supplemental Security Income (SSI),Social Security Administration,Cash,benefit,monthly,federal,"2026 federal max about $967/month individual and $1,450/month eligible couple (after COLA).","2026 federal max about $967/month individual and $1,450/month eligible couple (after COLA). Many states add a small state supplement. May confer Medicaid eligibility.",https://www.ssa.gov/ssi,https://www.ssa.gov/apply,1-800-772-1213 (TTY 1-800-325-0778),Age 65+ claims can take weeks to a few months. Disability claims often 3–6+ months; appeals take longer.,Free. Never pay anyone to file an SSI claim.,Very low countable income after SSA exclusions. Earned-income exclusions exist.,"Apply online at ssa.gov, by phone, or at a local Social Security office.",Back pay possible. Living arrangement (own household vs. someone else's) affects the check. Report wages and changes immediately.,SSN; birth certificate; proof of income/resources; medical records for disability claims; immigration papers if applicable,,,,,,,TRUE,,,,,,,flat,967,,,/images/cash-aid.jpg
ssdi,TRUE,SSDI,Social Security Disability Insurance (SSDI),Social Security Administration,Cash,benefit,monthly,federal,Based on lifetime earnings.,"Based on lifetime earnings. Amounts vary. After 24 months on SSDI, Medicare usually begins.",https://www.ssa.gov/disability,https://www.ssa.gov/apply,1-800-772-1213,Initial decisions commonly 3–8 months; hearings much longer if denied.,Free to apply. Representatives may charge a regulated fee only if you win.,Must not engage in Substantial Gainful Activity (SGA). 2026 SGA amounts are set annually by SSA.,Apply at ssa.gov/apply or local office.,Different from SSI. You can receive both if the SSDI amount is low (concurrent benefits).,Work history; medical records; W-2s; doctors' names,,,,,,,TRUE,,,,,,,zero,,,,/images/cash-aid.jpg
